,货号,通用名,剂型,规格,生产厂家,批准文号,单位
2122,69049,炮姜,,0.5kg每袋,四川省泓圃药业有限公司,,g
2123,69050,金银花,,0.5kg每袋,成都兴沣瑞中药饮片有限公司,,g
2124,69051,防风通圣丸,丸剂(水丸),每20丸重1g*10袋,太极集团四川绵阳制药有限公司,国药准字Z51022427,盒
2125,69052,纳米银消毒液,,100ml,海南省康贝佳实业有限公司,鲁卫消证字（2022）第04027号,盒
2126,69053,维磷葡钙片,片剂,复方*100片,葵花药业集团（唐山）生物制药有限公司,国药准字H13023877,盒
2127,69054,利佰通关节型,,8贴,四川利佰生物科技有限公司,,盒
2128,69055,阿莫西林胶囊,胶囊剂,0.25g(按C16H19N3O5S计)*50颗,华北制药股份有限公司,国药准字H13020726,盒
2129,69056,防风通圣丸,丸剂(水丸),每20丸重1g*10袋,山西华康药业股份有限公司,国药准字Z14020010,盒
2130,69057,复方丹参片,片剂,(1)薄膜衣小片 每片重0.32g(相*300粒当于饮片0.6g)  (2)薄膜衣大片 每片重0.8g(相当于饮片1.8,吉林省长恒药业有限公司,国药准字Z22025234,盒
2131,69058,小儿健脾颗粒(宝宝乐),颗粒剂,每袋装5g*9袋,贵阳济仁堂药业有限公司,国药准字Z20063077,盒
2132,69059,咽炎片,片剂(糖衣),每基片重0.25g,伊春五加参药业有限责任公司,国药准字Z20064053,盒
2133,69060,盐酸氨溴索口服溶液,口服溶液剂,0.3%*7支,山东益康药业股份有限公司,国药准字H20065840,盒
2134,69061,喉症丸,丸剂,每224粒重1g*60粒,广州白云山敬修堂药业股份有限公司,国药准字Z44020859,盒
2135,69062,阿昔洛韦片,片剂,0.1g*24粒,重庆科瑞制药(集团)有限公司,国药准字H50020514,盒
2136,69063,咽炎片,片剂(薄膜衣),每片重0.26g*24,伊春药业有限公司,国药准字Z20055269,盒
2137,69064,藿香正气水,酊剂,每支装10ml*10支,四川逢春制药有限公司,国药准字Z51022052,盒
2138,69065,西地碘含片,片剂,1.5mg10*2板,上海迪冉郸城制药有限公司,国药准字H20033099,盒
2139,69066,小儿咳喘灵颗粒,颗粒剂,2g*15袋,兰州和盛堂制药有限公司,国药准字Z62020012,盒
2140,69067,咽炎片,片剂(薄膜衣),每片重0.25g,石家庄东方药业有限公司,国药准字Z20093479,盒
2141,69068,广东凉茶颗粒,颗粒剂,每袋装1g;每袋装10g*12袋,东莞市亚洲制药有限公司,国药准字Z44022865,盒
2142,69069,头孢克肟颗粒,颗粒剂,50mg*10袋,康普药业股份有限公司,国药准字H20068130,盒
2143,69070,健胃消食片,片剂,每片重0.5g ；每片重0.8g(薄膜衣片),悦康药业集团安徽天然制药有限公司,国药准字Z20054437,盒
2144,69071,盐酸丙卡特罗片,片剂,25μg*12片,上海迪冉郸城制药有限公司,国药准字H19983013,盒
2145,69072,黄连上清片,片剂,糖衣片(片芯重0.3克)48,贵州百灵企业集团制药股份有限公司,国药准字Z52020123,盒
2146,69073,复方黄连素片,片剂(糖衣片),每片含盐酸小檗碱30mg*40,四川金药师制药有限公司,国药准字Z51021954,盒
2147,69074,兰索拉唑肠溶胶囊,,30mg*7片,上海恒华制药有限公司,,盒
2148,69075,解汣令,,10ml*6支,安徽福来生物医药有限公司,,盒
2149,69076,蛇油膏,,50g,山西利济堂药业有限公司,,盒
2150,69077,维生素c片,,100g,安徽全康药业有限公司,,盒
2151,69078,甘草良咽清爽糖,,2g*16粒,江西草珊瑚药业有限公司,,盒
2152,69079,蜜炼枇杷清爽糖,,2*16粒,江西草珊瑚药业有限公司,,盒
2153,69080,西瓜爽清爽糖,,2.g*16粒,江西草珊瑚药业有限公司,,盒
2154,69081,维生素c泡腾片,,4g*20片,安徽全康药业有限公司,,盒
2155,69082,医用防护口罩N95,,1*1,湖南康之健科技有限公司,,片
2156,69083,医用退热贴,,4贴,湖北冠安堂药业有限公司,,盒
2157,69084,碳酸钙D3咀嚼片,,72片,江苏万高药业有限公司,国药准字号H20183238,盒
2158,69085,复方消痔栓,栓剂,每粒重2g*6粒,广西百琪药业有限公司,国药准字Z20053510,盒
2159,69086,维生素AD滴剂(胶囊型),口服溶液剂,每粒含维生素A 2000单位与维生素D 700单位,南京海鲸药业有限公司,国药准字H20057262,盒
2160,69087,黄花蛇穴位压力贴,,10贴、盒,濮阳苗王药业有限公司,豫濮械备20210025号,盒
2161,69088,罗汉果糖,,2.5g*16片,鑫玺生物科技有限公司,,盒
2162,69089,益生菌乳双歧杆菌粉,,10条*3盒,江西博远健康产业有限公司,,大包
2163,69090,雪梨膏,煎膏剂(膏滋),150g,武汉太福制药有限公司,国药准字Z42021449,瓶
2164,69091,小儿止咳糖浆,糖浆剂,每瓶装100ml,四川成都同道堂制药有限责任公司,国药准字Z20055194,瓶
2165,69092,盐酸羟甲唑啉喷雾剂,喷雾剂,10ml*1,南京海鲸药业有限公司,国药准字H20057401,支
2166,69093,蒲公英颗粒,颗粒剂,每袋装5g*10袋,江西心诚药业有限公司,国药准字Z20055430,盒
2167,69094,人参,,250g,吉林省天骏药业有限公司,,g
2168,69095,复方氨酚烷胺胶囊,胶囊剂,复方,云南省曲靖药业有限公司,国药准字H53021934,盒
2169,69096,盐酸班布特罗片,片剂,10mg*10,西安海欣制药有限公司,国药准字H20030683,盒
2170,69097,维生素c咀嚼片,,120片,新乡市国御堂生物技术有限公司,,瓶
2171,69098,猴头菇蛋白质粉,,1kg,安徽全康药业有限公司,,桶
2172,69099,医用防护口罩,,1*1,河南省凯泰医疗用品有限公司,,片
2173,69100,电子体温计,,1*1,莆田市涵江华丰塑料有限公司,,支
2174,69101,医用外科口罩,,1*10,山东京佳医疗器械有限公司,,片
2175,69102,山麦冬,,0.5kg每袋,四川鑫仁泰药业有限公司,,g
2176,69103,益生菌粉,,20袋,汤臣倍健股份有限公司,,盒
2177,69104,B族维生素片,,100片,汤臣倍健股份有限公司,,瓶
2178,69105,玻璃酸钠滴眼液,,0.4ml*10支,浙江莎普爱思制药有限公司,国药准字号H20183132,盒
2179,69106,厄贝沙坦片,片剂,0.15g,赛诺菲（杭州）制药有限公司,国药准字H20040494,盒
2180,69107,逍遥丸,丸剂(浓缩丸),每8丸相当于原药材3g,陕西天洋制药有限责任公司,国药准字Z61020731,盒
2181,69108,盐酸左氧氟沙星片,片剂(薄膜衣),0.1g(以左氧氟沙星计)*24片,浙江京新药业股份有限公司,国药准字H19990060,盒
2182,69109,复方醋酸地塞米松乳膏,乳膏剂,10g:7.5mg*20g,江西德成制药有限公司,国药准字H36022083,支
2183,69110,维生素B1片,片剂,10mg*100片,成都三勒浆药业集团四川华美制药有限公司,国药准字H51022143,瓶
2184,69111,血塞通分散片,片剂,每片重0.17g(含三七总皂苷25mg)*36片,湖南方盛制药股份有限公司,国药准字Z20064307,盒
2185,69112,阿奇霉素分散片,片剂,0.25g(25万单位)*8片,河北山姆士药业有限公司,国药准字H20093218,盒
2186,69113,布洛芬片,片剂,0.1g*12片,葵花药业集团（衡水）得菲尔有限公司,国药准字H13021414,盒
2187,69114,哈西奈德溶液,溶液剂(外用),0.025%,国药集团三益药业（芜湖）有限公司,国药准字H34020322,盒
2188,69115,苯磺酸氨氯地平片,片剂,5mg(以氨氯地平计)*28片,四川省百草生物药业有限公司,国药准字H20103551,盒
2189,69117,盐酸特比萘芬乳膏,乳膏剂,10g:0.1g*10g,海南凯健制药有限公司,国药准字H20083268,盒
2190,69118,三七伤药片,片剂,12片*3板,云南植物药业有限公司,国药准字Z53020156,盒
2191,69116,化痔灵片,片剂,18片*3板,吉林省天泰药业股份有限公司,国药准字Z22025450,盒
2192,69120,独一味软胶囊,软胶囊剂,每粒装0.5g,江西欧氏药业有限责任公司,国药准字Z20060040,盒
2193,69121,肺宁颗粒,颗粒剂,每袋5g(无蔗糖);每袋10g;每袋5g*10袋,吉林益民堂制药有限公司,国药准字Z22023003,盒
2194,69119,三黄片,片剂(糖衣),24片,葵花药业集团(襄阳)隆中有限公司,国药准字Z42020500,盒
2195,69122,消炎利胆片,片剂,"薄膜衣小片(0.26g,相当于饮片2.6*180粒g)",云南楚雄天利药业有限公司,国药准字Z20093425,盒
2196,69123,清热散结片,片剂,36片,广东省惠州市中药厂有限公司,国药准字Z44023844,盒
2197,69124,藿香正气颗粒,颗粒剂,每袋装10g*20袋,云南滇中药业有限公司,国药准字Z53020823,袋
2198,69125,藿香正气颗粒,颗粒剂,每袋装10g*10袋,四川同人泰药业有限公司,国药准字Z20073036,盒
2199,69126,感冒灵颗粒,颗粒剂,每袋装10g(含对乙酰氨基酚0.2g)*9袋,广东新峰药业股份有限公司,国药准字Z44021019,盒
2200,69127,复方板蓝根颗粒,颗粒剂,每袋装15g(相当原生药15g),四川逢春制药有限公司,国药准字Z51022314,袋
2201,69128,苄达赖氨酸滴眼液,眼用制剂,8ml：40mg8ml,安徽省双科药业有限公司,国药准字H20063124,支
2202,69129,小柴胡颗粒,颗粒剂,每袋装10g*6袋,广西恒拓集团仁盛制药有限公司,国药准字Z45020935,盒
2203,69131,布洛芬缓释胶囊,胶囊剂,0.3g*10颗,协和药业有限公司,国药准字H20023191,盒
2204,69130,复方黄连素片,片剂(糖衣片),每片含盐酸小檗碱30mg*100,四川省通园制药有限公司,国药准字Z51021428,瓶
2205,69133,复方黄连素片,片剂,每片含盐酸小檗碱30mg*48粒,湖北香连药业有限责任公司,国药准字Z42020886,盒
2206,69134,黄连上清片,片剂(糖衣片),糖衣片(片芯重0.3g)*36颗,湖北香连药业有限责任公司,国药准字Z42020879,盒
2207,69135,通便灵胶囊,胶囊剂,每粒装0.25g*12粒,四平市吉特药业有限公司,国药准字Z20055234,盒
2208,69136,谷维素片,片剂,10mg*100片,临汾宝珠制药有限公司,国药准字H14021486,瓶
2209,69137,蒙脱石散,散剂,每袋含蒙脱石3g*6袋,湖南中和制药有限公司,国药准字H20083621,盒
2210,69132,医用退热贴,,3贴,青岛爱惠尔生物科技有限公司,,盒
2211,69138,九春维生素c片,,100片,安徽三九药业有限公司,,瓶
2212,69139,疤痕修复凝胶,,20g,江西展宏医疗器械有限公司,赣械注准20222140144,支
2213,69140,焊工专用,,10ml,陕西海斯诺生物医药有限公司,s陕铜械备20220001号,盒
2214,69141,感冒灵颗粒,,10g*9袋,广东隆信制药有限公司,,盒
2215,69142,肾石通颗粒,颗粒剂,每袋重15g*10袋,河北万岁药业有限公司,国药准字Z13020134,盒
2216,69143,复方氨酚那敏颗粒,颗粒剂,复方*5袋,四川天德制药有限公司,国药准字H51023325,袋
2217,69144,阿胶,胶剂,250g,山东济水阿胶有限公司,国药准字Z23020807,盒
2218,69145,盐酸左氧氟沙星胶囊,胶囊剂,0.1g(按C18H20FN3O4计)*30粒,河南蓝图制药有限公司,国药准字H20010224,盒
2219,69146,盐酸西替利嗪片,片剂,10mg*18粒,海南三叶制药厂有限公司,国药准字H20000152,盒
2220,69147,盐酸二甲双胍肠溶片,片剂,0.25g*36片,河北天成药业股份有限公司,国药准字H20031134,盒
2221,69148,奥美拉唑肠溶胶囊,胶囊剂,20mg*21颗,北京星昊医药股份有限公司,国药准字H20123371,盒
2222,69149,胶体果胶铋胶囊,胶囊剂,50mg*30颗,上海现代哈森(商丘)药业有限公司,国药准字H20065925,盒
2223,69150,双唑泰阴道泡腾片,片剂,"本品每片含甲硝唑200mg,克霉唑160mg,醋酸氯已定8 mg",河南辅仁堂制药有限公司,国药准字H20057199,盒
2224,69151,甲硝唑氯己定洗剂,洗剂,200ml:每瓶含甲硝唑40mg和葡萄糖酸氯己定240mg,广州花海药业股份有限公司,国药准字H20033527,盒
2225,69152,龙胆泻肝丸(水丸),丸剂(水丸),每20粒重1克*8袋,山东孔圣堂制药有限公司,国药准字Z10983130,盒
2226,69153,维生素C咀嚼片,片剂(咀嚼),100mg*70片,呼伦贝尔松鹿制药有限公司,国药准字H15021416,盒
2227,69154,午时茶颗粒,颗粒剂,每袋装6克*17袋,黄石燕舞药业有限公司,国药准字Z42020189,袋
2228,69155,麻仁丸,丸剂(水蜜丸),200丸,湖北御金丹药业有限公司,国药准字Z42020476,盒
2229,69156,双氯芬酸钠凝胶,凝胶剂,10g:0.1g;20g:0.2g,马应龙药业集团股份有限公司,国药准字H10950214,支
2230,69157,维生素B1片,片剂,10mg*100粒,四川锡成药业有限公司,国药准字H51020830,瓶
2231,69158,泮托拉唑钠肠溶片,片剂,40mg(以C16H15F2N3O4S7片,世贸天阶制药(江苏)有限责任公司,国药准字H20103697,盒
2232,69159,苦参抑菌洗液,,280ml,江西一品药业有限公司,,盒
2233,69160,布洛芬片,片剂,0.2g*24颗,山西国润制药有限公司,国药准字H14020652,盒
2234,69161,银翘解毒颗粒,颗粒剂,每袋装15g*10袋,四川泰乐制药有限公司,国药准字Z20043560,盒
2235,69162,抗病毒口服液,合剂,每支装10毫升*10支,湖北午时药业股份有限公司,国药准字Z19994092,盒
2236,69163,鸡眼贴,,6贴,江西兴鹏实业有限公司,,盒
2237,69164,清热解毒口服液,合剂,每支装10ml*10支,武汉鑫瑞药业有限公司,国药准字Z42020187,盒
2238,69165,小柴胡颗粒,颗粒剂,每袋装10g*10袋,广西恒拓集团仁盛制药有限公司,国药准字Z45020935,盒
2239,69166,止咳枇杷颗粒,颗粒剂,每袋重10g*10袋,广东恒诚制药有限公司,国药准字Z44022609,盒
2240,69167,清肺十八味丸,丸剂(丸剂),每10粒重30粒*4袋,阜新蒙药有限责任公司,国药准字Z21020270,盒
2241,69168,赶黄草,,3g*20袋,四川一片叶药业有限公司,,盒
2242,69169,明目地黄丸,,230丸,湖北瑞华制药有限责任公司,,盒
2243,69171,杞菊地黄丸,,230丸,湖北瑞华制药有限责任公司,,盒
2244,69172,六味地黄丸,,230丸,湖北瑞华制药有限责任公司,,盒
2245,69173,知柏地黄丸,,230丸,湖北瑞华制约有限责任公司,,盒
2246,69174,肾骨片,片剂,每片重0.3g72片,武汉海纳药业有限公司,国药准字Z20080447,盒
2247,69175,医用护理垫,,290290mm*6片,美丽岛（福建）生活用品有限公司,闽泉械备20180016号,盒
2248,69176,医用护理垫,,245mm*8片,美丽岛（福建）生活用品有限公司,闽泉械备20180016号,盒
2249,69170,金嗓子口腔抑菌含漱液,,250ml,西安中天生物科技有限公司,,瓶
2250,69177,金嗓子口腔抑菌含漱液,,250ml*1,西安中天生物科技有限公司,,瓶
2251,69178,强力枇杷露,糖浆剂,每支装10毫升;每瓶装100毫升;每瓶装120毫升;每瓶装150毫升。,江西滕王阁药业有限公司,国药准字Z36020241,瓶
2252,69179,蒲地蓝消炎片,片剂(薄膜衣片),每片重0.3g*54片,湖南方盛制药股份有限公司,国药准字Z20043422,盒
2253,69180,血塞通分散片,片剂,50mg*50片,湖南方盛制药股份有限公司,国药准字Z20040142,盒
2254,69181,川贝枇杷糖浆,糖浆剂,每瓶装150ml,贵州安顺西秀制药有限责任公司,国药准字Z52020178,瓶
2255,69182,复方鱼腥草片,片剂(糖衣),100片,广东新峰药业股份有限公司,国药准字Z44021018,瓶
2256,69183,藏青果冲剂,"茶剂(块状),颗粒剂",每袋重15g;每块重15g*10袋,广西正堂药业有限责任公司,国药准字Z45021363,盒
2257,69184,糠酸莫米松乳膏,,15g,武汉诺安药业有限公司,国药准字号H20173401,盒
2258,69185,午时茶颗粒,颗粒剂,每袋装6克*14袋,黄石燕舞药业有限公司,国药准字Z42020189,盒
2259,69186,布洛芬混悬液,口服混悬剂,5ml:0.1g*60ml,翔宇药业股份有限公司,国药准字H20030648,瓶
2260,69187,阿莫西林胶囊,胶囊剂,按C16H19N3O5S计算 0.25g*24粒,山东鲁抗医药股份有限公司,国药准字H19993034,盒
2261,69188,加巴喷丁胶囊,胶囊剂,0.1g*50颗,江苏恒瑞医药股份有限公司,国药准字H20030662,盒
2262,69189,盐酸氟桂利嗪胶囊,胶囊剂,按C26H26F2N2计算 5mg*24粒,陕西颐生堂药业有限公司,国药准字H20103601,盒
2263,69190,感冒清片,片剂(薄膜衣),每素片重0.22g(含对乙酰氨基酚12mg),广东罗浮山国药股份有限公司,国药准字Z44022333,盒
2264,69191,越鞠保和丸,丸剂(水丸),每袋装6g*10袋,北京御生堂集团石家庄制药有限公司,国药准字Z13021684,盒
2265,69192,维生素E软胶囊,,60粒,安徽济生元药业有限公司,,盒
2266,69193,医用退热贴,,1*4贴,山西立爽药业有限公司,晋临械备20160016号,盒
2267,69194,盐酸氟桂利嗪胶囊,胶囊剂,5mg*40粒,山西振东安特生物制药有限公司,国药准字H14020844,盒
2268,69195,少林风湿跌打膏,,10贴,安徽金马药业有限公司,国药准字Z20204012,盒
2269,69196,医用退热贴,,1*4贴,青岛海诺生物工程有限公司,,盒
2270,69197,盐酸雷尼替丁胶囊,胶囊剂,0.15g(按C13H22N4O3S*30颗,山西太原药业有限公司,国药准字H14022109,盒
2271,69198,维生素B1片,片剂,10mg*100颗,四川锡成药业有限公司,国药准字H51020830,盒
2272,69199,硫酸庆大霉素碳酸铋胶囊,胶囊剂,"每粒含硫酸庆大霉素(以庆大霉素计)40mg(4万单位),碱式碳酸铋600mg",葫芦岛国帝药业有限责任公司,国药准字H21023767,盒
2273,69200,罗红霉素胶囊,胶囊剂,0.15g*10粒,江苏亚邦爱普森药业有限公司,国药准字H10970115,盒
2274,69201,维D2乳酸钙片,片剂,"维生素D2 12.6ug,乳酸钙0.16g*90",青海制药厂有限公司,国药准字H63020212,盒
2275,69202,盐酸地芬尼多片,片剂,25mg*30片,山东仁和堂药业有限公司,国药准字H37022609,瓶
2276,69203,乳果糖口服溶液,,100ml,宿州亿帆药业有限公司,HJ20170248,瓶
2277,69204,琥珀,,0.5kg每袋,四川相如制药有限公司,,g
2278,69205,净山楂,,90g,四川皓博药业有限公司,,
2279,69206,玫瑰花,,60g,四川九威阁中药饮片有限公司,,盒
2280,69208,黄芪,,120g,四川相如制药有限公司,,盒
2281,69209,贡菊,,50g,四川九威阁中药饮片有限公司,,盒
2282,69210,金银花,,50g,四川相如制药有限公司,,盒
2283,69211,复方感冒灵颗粒,颗粒剂,每袋装14g;每块重14g*12袋,广西双蚁药业有限公司,国药准字Z45020895,盒
2284,69207,磷酸奥司他韦颗粒,颗粒剂,15mg(以奥司他韦计)*12袋,宜昌长江药业有限公司,国药准字H20080763,盒
2285,69212,赶黄草,,60g,四川博仁堂药业有限责任公司,,盒
2286,69213,麻杏止咳糖浆,糖浆剂,100ml,桂林葛仙翁药业有限公司,国药准字Z45021057,盒
2287,69214,氯雷他定糖浆,糖浆剂,0.1%60ml,江苏汉晨药业有限公司,国药准字H20103533,盒
2288,69215,奥美拉唑肠溶胶囊,胶囊剂,20mg*42颗,济南明鑫制药股份有限公司,国药准字H20084393,瓶
2289,69216,杞菊地黄丸,丸剂(水蜜丸),200丸,湖北瑞华制药有限责任公司,国药准字Z42021299,瓶
2290,69217,补骨脂,,0.5kg每袋,四川相如制药有限公司,,g
2291,69218,消食健胃片,片剂,0.5g/片；1g/片*54粒,洛阳君山制药有限公司,国药准字Z19994009,盒
2292,69219,板蓝根,,10g*18袋,吉林敖东集团金海发药业股份有限公司,国药准字Z20174032,袋
2293,69220,奥硝唑片,片剂,0.25g、0.5g*10片,山东鲁抗医药集团赛特有限责任公司,国药准字H20133070,盒
2294,69221,阿昔洛韦凝胶,凝胶剂,10g:0.1g*10g,黑龙江天辰药业有限公司,国药准字H20093399,支
2295,69222,板蓝根颗粒,颗粒剂(无糖型),"每袋装3克(无蔗糖,相当于饮片7克)",江西海尔思药业有限公司,国药准字Z36020347,袋
2296,69223,复方感冒灵颗粒,颗粒剂,14g*8袋,广西宝瑞坦制药有限公司,国药准字Z45022221,盒
2297,69224,清火栀麦片,片剂(糖衣),45片,广西半宙天龙制药有限公司,国药准字Z20043794,盒
2298,69225,腰息痛胶囊,胶囊剂,每粒装0.3g(含扑热息痛0.1g),吉林省辉南辉发制药股份有限公司,国药准字Z22020855,盒
2299,69226,吲达帕胺片,片剂,2.5mg*40颗,河南中杰药业有限公司,国药准字H20003270,盒
2300,69227,黄芪,,100g,四川德仁堂中药饮片有限公司,,盒
2301,69228,颈康胶囊,胶囊剂,每粒装0.3g*48颗,通化斯威药业股份有限公司,国药准字Z20080632,盒
2302,69229,新型冠状病毒试纸,,5个,必欧瀚生物科技（合肥）有限公司,国械注准20223401539,盒
2303,69230,连翘败毒片,片剂,12片,内蒙古京新药业有限公司,国药准字Z15021792,盒
2304,69231,深海鱼油软胶囊,,100粒,营家健康科技（广东）有限公司,,盒
2305,69232,风油精,,12ml,江西三王实业有限公司,,盒
2306,69233,体表给药器,,100ml,青岛千江生物工程有限公司,,盒
2307,69234,老苗方痔疮膏,,18g,广西桂肤灵药业,,盒
2308,69235,万痛筋骨贴,,12贴,安徽金牛药械股份有限公司,,盒
2309,69236,灰指甲,,40ml/瓶,江西诺华生物科技有限公司,,盒
2310,69237,黑蚂蚁远红外活血止痛贴,,10贴,安徽苗德堂药业有限公司,,盒
2311,69238,熊胆痔疮栓医用退热凝胶,,6粒、盒,医药器械有限公司广东合纵,,盒
2312,69239,壳聚糖痔疮凝胶,,15g,江西宏展医疗器械有限公司,,盒
2313,69240,四季感冒片,片剂(薄膜衣),每片重0.37g*24颗,云南云溪植物制药有限公司,国药准字Z20093338,盒
2314,69242,硝酸咪康唑乳膏,乳膏剂,2%*20G,唐山红星药业有限责任公司,国药准字H13022120,盒
2315,69243,风油精,搽剂,每瓶装3ml,湖北康源药业有限公司,国药准字Z42021972,盒
2316,69244,风热感冒颗粒,颗粒剂,每袋重10g*10袋,广西南珠制药有限公司,国药准字Z45021285,盒
2317,69245,盐酸氨溴索口服溶液,口服溶液剂,5ml:15mg;10ml:30mg,黑龙江中桂制药有限公司,国药准字H20010534,盒
2318,69247,双花草珊瑚含片,片剂,每片重0.5g*24片,广西昌弘制药有限公司,国药准字B20020423,盒
2319,69241,叶酸片,片剂,0.4mg*31颗,烟台中洲制药有限公司,国药准字H20093829,盒
2320,69248,早早孕快速检测试纸,,1*1,湖北美玉生物科技有限公司,,盒
2321,69249,癃闭舒片,片剂,每片重0.31g*12片,遂成药业股份有限公司,国药准字Z20050120,盒
2322,69250,壮腰健肾片,片剂,72片,景忠山国药（唐山）有限公司,国药准字Z13021435,盒
2323,69255,氨茶碱片,片剂,0.1g,上海金不换兰考制药有限公司,国药准字H41021606,瓶
2324,69259,碳酸钙D3片,,60片/瓶,海南金泰药业有限公司,,瓶
2325,69252,丹参,,0.5kg每袋,四川省天府神龙中药饮片有限公司,,0.1g
2326,69260,玻璃体温计,,1支,宁波市海曙华合玻璃仪表有限公司,,支
2327,69261,化积口服液,合剂,每支装10ml*6支,江西地威药业有限公司,国药准字Z10890005,盒
2328,69262,通宣理肺丸,丸剂(水丸),每10丸重0.5g*8袋,太极集团四川绵阳制药有限公司,国药准字Z20025895,盒
2329,69264,8秒濞通,,20ml*1,湖北爱士康医药科技有限公司,,盒
2330,69265,西瓜霜口腔溃疡,,25ml*1,陕西为一生药业有限公司,,盒
2331,69266,蚊不叮驱蚊液,,100ml,仙桃三楚友康医药科技有限公司,,瓶
2332,69263,三七伤药片,片剂(糖衣片),27片,四川高原明珠制药有限公司,国药准字Z51021383,瓶
2333,69267,维生素C咀嚼片,片剂,50mg*120片,郑州永和制药有限公司,国药准字H41025485,盒
2334,69268,双唑泰栓,栓剂,"甲硝唑0.2g,克霉唑0.16g,醋酸氯己定8mg",江西九华药业有限公司,国药准字H20013081,盒
2335,69269,妇科康乃馨,,3g*5支,上海太昊生物科技（周口）医药有限公司,,盒
2336,69270,湿毒清片,片剂,每片重0.62克,广西玉林制药集团有限责任公司,国药准字Z20090854,盒
2337,69271,湿毒清软膏,,15g,江西邦克实业有限公司,,支
2338,69272,参苓白术颗粒,颗粒剂,每袋装6克,云南腾药制药股份有限公司,国药准字Z53020280,盒
2339,69273,金银花露,露剂,每500g相当于金银花31.25g*1瓶,湖北济安堂药业有限公司,国药准字Z42020101,瓶
2340,69274,氧化锌软膏,软膏剂,15%,广东恒健制药有限公司,国药准字H44020627,盒
2341,69275,头孢克肟胶囊,胶囊剂,0.1g(按C16H15N5O7S2计),云南昊邦制药有限公司,国药准字H53021613,盒
2342,69276,红霉素软膏,软膏剂,1%*10g,安徽新和成皖南药业有限公司,国药准字H34020379,盒
2343,69277,美洛昔康片,片剂,7.5mg*10片,宁波大红鹰药业股份有限公司,国药准字H20031131,盒
2344,69278,痱子粉型,,120g,山西立爽药业有限公司,,盒
2345,69279,鸡眼贴,,6贴,江西省中屹药业有限公司,,盒
2346,69280,艾附暖宫丸,丸剂(大蜜丸),每丸重9g,药都制药集团股份有限公司,国药准字Z13020707,盒
2347,69281,舒筋活血片,片剂,每片重0.37g,三门峡广宇生物制药有限公司,国药准字Z41020731,盒
2348,69282,六味地黄胶囊,胶囊剂,每粒装70,御室(北京)集团通化御室药业股份有限公司,国药准字Z22021819,盒
2349,00001,熊胆痔灵膏,膏剂,10克,黑龙江葵花药业股份有限公司,国药准字Z23021461,支
2350,00008,清凉喉片,糖浆剂,8片*2板,修正药业集团股份有限公司,国药准字Z220025034,盒
2351,00029,妇炎洁本草精华抑菌洗液,27,260ml,江西康美医药保健品有限公司,赣卫消证字（2010）第0003号,瓶
2352,00045,清肺抑火片,16,12s*2板,修正药业集团股份有限公司,国药准字Z22025033,盒
2353,00048,曲咪新乳膏,膏剂,10g,广州白云山何济公制药厂,国药准字H44024380,支
2354,00053,化痰平喘片,16,12s*2板,修正通药制药集团股份有限公司,国药准字Z22023310,盒
2355,00062,西青果颗粒,含漱液,15克*9袋,广西济民制药厂,国药准字Z45022146,盒
2356,00065,TJ杞菊地黄丸（浓缩丸）,胶囊剂,200丸,芜湖张恒春药业有限公司,国药准字Z34020128,盒
2357,00072,足光散,30,40g*3袋,武汉中联集团四药药业有限公司,国药准字Z20025433,盒
2358,00082,TJ通牌筋骨贴,外用,2贴*3袋,修正药业集团股份有限公司,卫健证字{2018}第007号,盒
2359,00083,血糖试纸,34,50片,长沙三诺生物传感技术股份有限公司,湘食药监械（准）字2012第2400053号,盒
2360,00096,加巴喷丁胶囊,18,0.1g*12粒,江苏恩华药业股份有限公司,国药准字H20040527,盒
2361,00101,苄达赖氨酸滴眼液,贴剂,8ml;40mg,湖北远大天天明制药有限公司,国药准字H20063847,支
2362,00107,脑络通胶囊,16,0.5g*30粒,广州花城制药厂,国药准字Z44020338,盒
2363,00122,宫炎康颗粒,含漱液,9克*12袋,深圳市佳泰药业有限公司,国药准字Z20063039,盒
2364,00133,骨肽片,片剂,10mg*24片,安徽宏业药业有限公司,国药准字H20055876,盒
2365,00137,曲咪新乳膏,膏剂,10g,国药集团三益药业（芜湖）有限公司,国药准字H34022274,支
2366,00145,(仁和）十全大补丸（浓缩丸）,胶囊剂,216丸,江西药都樟树制药有限公司,国药准字Z36021773,瓶
2367,00170,活力苏口服液,喷雾剂,10ml*6支,成都地奥集团天府药业股份有限公司,国药准字Z51020381,盒
2368,00179,制霉素阴道栓,丸剂,6枚,江苏远恒药业有限公司,国药准字H32026101,盒
2369,00186,复方氯已定含淑液,外用,150ml,深圳南粤药业有限公司,国药准字H10920104,盒
2370,00187,杜蕾斯（LOVE装）,DA000000000905YZ,3只,青岛伦敦杜蕾斯有限公司,食药监械（准）字2012第2660139号,盒
2371,00195,瑞巴派特片,片剂,12片,浙江大冢制药有限公司,国药准字号H20020541,盒
2372,00198,止咳枇杷颗粒,含漱液,10g*9袋,太极集团四川绵阳制药有限公司,国药准字51020226,盒
2373,00213,化痔片,片剂,54片,陕西华龙制药有限公司,国药准字Z20043292,盒
2374,00217,珍珠明目滴眼液(精装),33,10ml,苏州太湖美药业有限公司,国药准字Z10960078,盒
2375,00223,复方羊角颗粒,含漱液,8g*12袋,甘肃佛仁制药有限公司,国药准字Z62020700,盒
